audio_onset,audio_offset,audio_path,video_path,video_index,p0_x,p0_y,p1_x,p1_y
10322592,10333695,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2478,,,,
12909488,12920159,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3099,339.0,374.0,531.0,340.0
12925472,12931679,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3102,345.0,382.0,533.0,357.0
12944144,12950255,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3107,356.0,391.0,555.0,363.0
12961136,12972319,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3112,341.0,393.0,556.0,372.0
13284416,13289823,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3188,,,,
13332096,13349551,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3201,547.0,215.0,578.0,383.0
15538544,15544815,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3730,,,,
15548912,15558463,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3732,,,,
15598416,15601791,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3744,,,,
15804992,15811775,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,3794,,,,
17150128,17153983,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4116,,,,
18342288,18348095,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4402,,,,
18509008,18515599,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4442,,,,
18953104,18956127,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4549,,,,
19530464,19533487,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4687,,,,
19582768,19594239,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4701,109.0,430.0,636.0,437.0
20103808,20115183,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4826,,,,
20770816,20775199,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4985,354.0,363.0,539.0,251.0
20786928,20795519,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4989,341.0,363.0,554.0,249.0
20805824,20811583,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,4994,311.0,371.0,552.0,251.0
21512272,21514847,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5163,,,,
22472400,22474943,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5393,,,,
22496752,22499759,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5399,,,,
22703664,22711583,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5449,440.0,81.0,555.0,180.0
22720016,22729727,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5453,,,,
22741280,22749599,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5458,,,,
22766560,22774335,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5464,,,,
22806640,22809551,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5473,,,,
22895296,22899807,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5495,,,,
22929664,22946527,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5505,,,,
23016864,23020911,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5524,,,,
23083040,23091215,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5540,,,,
23103280,23110847,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5545,,,,
23116704,23122639,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5548,,,,
23697552,23705119,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5688,104.0,388.0,577.0,92.0
23737168,23740479,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5697,568.0,147.0,103.0,394.0
23771264,23776671,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5705,115.0,333.0,567.0,167.0
24218432,24221455,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5812,,,,
24343392,24350895,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5843,,,,
24355056,24359647,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5845,,,,
24685504,24691023,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5925,,,,
24948416,24953391,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,5988,,,,
25479888,25483423,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6115,,,,
25486896,25489439,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6117,,,,
25500912,25503695,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6120,,,,
25534752,25541663,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6129,,,,
25551984,25556943,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6133,,,,
25559632,25563935,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6134,,,,
25587856,25602591,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6142,,,,
25607200,25614111,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6146,,,,
25629872,25634879,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6151,49.0,66.0,463.0,119.0
25760576,25763423,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6182,,,,
25788512,25797871,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6190,41.0,59.0,571.0,96.0
25932448,25935151,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6224,,,,
25949184,25954431,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6228,,,,
26221024,26230159,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6294,,,,
26236096,26242287,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6297,,,,
26540704,26545215,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6370,,,,
26715168,26719903,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6412,,,,
26749728,26762607,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,6421,,,,
